판매처코드,판매처명
1303283,国分Ｇ本社株式会社ＦＳ事業部
1303297,三井物産流通グループ株式会社北海道支社食品営業部
1303384,国分西日本株式会社近畿支社（ライフ）
1303503,株式会社キャメル珈琲
1303560,コストコホールセールジャパン株式会社
1303567,株式会社日本アクセス広域リテール営業本部東北営業課
1303568,株式会社日本アクセス広域リテール営業本部加工食品飲料部
1303569,株式会社日本アクセス広域リテール営業本部中部・北陸営業課
1303570,株式会社日本アクセス広域リテール営業本部関西営業課
1303571,株式会社日本アクセス広域リテール営業本部中四国営業課
1303572,株式会社日本アクセス広域リテール営業本部九州営業課
1303648,三菱食品株式会社開発本部ネット事業部
1303714,株式会社日本アクセス郡山支店
1303838,日本酒類販売（株）流通本部流通第六支社
1303929,カナカン株式会社長野営業所
1304029,株式会社ジェイエム（ジュピターコーヒー(株)）
1304054,三菱食品株式会社ＣＶＳ本部関西
1304148,関原酒造株式会社東日本
1304216,国分関信越株式会社信越支社長野支店
1304730,三菱食品（株）広域流通本部ウェルネス営業グループ　
1304968,ヤマエ久野株式会社東京支店食品課
1305013,旭食品株式会社大阪支店
1305030,株式会社リカマンホールディングス
1305046,三井物産流通グループ株式会社首都圏支社首都圏西営業部
1305075,日本酒類販売（株）広域卸支社営業部営業課
1305226,加藤産業株式会社オリジナル商品部特販課
1305405,株式会社セイコーフレッシュフーズ茨城配送センター
1305572,やまや商流株式会社（名古屋）
1305584,丸大堀内株式会社青森支店
1305862,株式会社ARTAGE
1305984,株式会社日本アクセス浜松支店
1305991,国分西日本(株)近畿支社兵庫支店
1306045,三井物産流通グループ株式会社九州支社沖縄支店
1306081,丸大堀内株式会社札幌支店
1306129,丸大堀内株式会社郡山支店
1306147,三井食品株式会社福岡KBセンター（DC）
1306257,日本酒類販売（株）西日本本部大阪オフィス
1306336,株式会社山星屋中部支店
1306524,カナカン株式会社外食新潟営業所
1306554,株式会社髙山岡山支店
1306578,全日本食品株式会社甲信越支社
1306613,株式会社ジャパンミート
1306704,国分グループ本社株式会社フードサービス事業部
1306711,株式会社ナシオ
