대표슈퍼코드,대표슈퍼명,판매처코드,판매처명
6000495,■株式会社さえき,1300168,国分関信越株式会社茨城支社
6000496,■株式会社山梨さえき,1300119,株式会社日本アクセス東京西支店
6000522,■株式会社二木,1300009,加藤産業株式会社東関東支社足立支店
6000524,■株式会社マルエイ（新鮮市場）,1300015,加藤産業株式会社北関東支社埼玉支店
6000525,■株式会社マルマンストア,1301908,株式会社サンヨー堂東京東支店
6000549,■カネカ水産株式会社,1300058,旭食品株式会社関東支店
6000576,■株式会社越前屋,1300029,今津株式会社
6000578,■株式会社スーパー王子,1300011,加藤産業株式会社北近畿支社北大阪支店
6000579,■株式会社関西スーパーマーケット,1300029,今津株式会社
6000581,■株式会社カノー,1300029,今津株式会社
6000584,■協和商事株式会社,1300077,株式会社大物
6000589,■株式会社スーパーことぶき,1300029,今津株式会社
6000593,■佐竹食品株式会社,1300029,今津株式会社
6000594,■株式会社サンディ,1301615,旭食品株式会社中国支店
6000595,■株式会社山陽マルナカ,1300025,加藤産業株式会社中四国支社岡山支店
6000596,■上新電機株式会社,1300029,今津株式会社
6000600,■株式会社スーパー玉出,1300077,株式会社大物
6000601,■大平株式会社,1300136,株式会社サンヨー堂大阪支店
6000604,■株式会社ハッピーテラダ,1300010,加藤産業株式会社北近畿支社京都支店
6000606,■株式会社天満屋,1301675,三菱食品（株）中四国支社営業グループ岡山ユニット
6000608,■株式会社トライアルカンパニー,1301629,旭食品株式会社名古屋支店
6000610,■株式会社楠公シャル,1300053,旭食品株式会社大阪北支店
6000614,■株式会社パリヤ,1302019,三菱食品株式会社関西支社営業第四部
6000615,■株式会社パルヤマト,1300029,今津株式会社
6000625,■株式会社本峰商店,1300029,今津株式会社
6000627,■株式会社プラデス・マルトミ,1300029,今津株式会社
6000630,■株式会社マツヤスーパー,1300029,今津株式会社
6000632,■株式会社万代,1300029,今津株式会社
6000635,■株式会社三杉屋　,1300029,今津株式会社
6000637,■株式会社八百彦商店,1300029,今津株式会社
6000752,■ＡＮＣ関西株式会社サンキョー,1301624,旭食品株式会社和歌山支店
6000753,■ＡＮＣ関西株式会社なかむら,1301625,旭食品株式会社京都支店
6000754,■ＡＮＣ関西株式会社にしがき,1301625,旭食品株式会社京都支店
6000760,■株式会社土佐山田ＳＣ,1300050,旭食品株式会社中四国支社高知支店
6000765,■ＴＳＫマート株式会社,1305013,旭食品株式会社大阪支店
6000766,■アクト中食株式会社(業務用食品スーパー),1302036,国分西日本株式会社山陰支店
6000768,■エビス食品企業組合,1300059,旭食品株式会社四国支店
6000769,■えぷろんフーズ株式会社,1300062,伊藤忠食品株式会社東海営業本部
6000774,■こうち生活協同組合,1300050,旭食品株式会社中四国支社高知支店
6000779,■シミズ薬品株式会社,1301360,三菱食品株式会社関西支社営業第三部
6000789,■ヒラキ株式会社,1300019,加藤産業株式会社西近畿支社神姫支店
6000792,■フォーレスト株式会社,1300058,旭食品株式会社関東支店
6000796,■マルスフードショップ株式会社,1300062,伊藤忠食品株式会社東海営業本部
6000800,■リカオー株式会社,1301610,旭食品株式会社徳島支店
6000808,■株式会社ＪＡ岡山,1300025,加藤産業株式会社中四国支社岡山支店
6000811,■株式会社アートタウン香里,1300029,今津株式会社
6000812,■株式会社アカシヤ(大阪),1305013,旭食品株式会社大阪支店
6000813,■株式会社あがた,1300028,加藤産業株式会社中四国支社広島支店
6000815,■株式会社アスク,1303283,国分Ｇ本社株式会社ＦＳ事業部
