판매처코드,소매처코드
1300128,6035527
1300136,6152458
1300136,6154831
1300136,6066211
1300136,6000601
1300136,6152587
1300136,6033130
1300136,6013523
1300137,6152682
1300137,6152634
1300137,6013512
1300137,6013513
1300137,6041629
1300137,6152665
1300137,6154438
1300137,6154025
1300137,6160916
1300137,6154086
1300137,6014273
1300137,6041624
1300137,6152567
1300137,6152633
1300137,6152548
1300137,6013894
1300137,6047677
1300137,6164651
1300137,6033130
1300137,6154828
1300137,6152656
1300137,6019064
1300142,6152491
1300142,6033130
1300142,6052879
1300142,6154401
1300148,6047669
1300148,6152701
1300148,6047970
1300148,6047971
1300148,6047974
1300148,6047976
1300149,6047973
1300150,6152610
1300150,6034156
1300152,6152573
1300152,6041337
1300152,6154041
1300152,6041646
1300152,6163097
1300152,6164667
1300152,6047676
1300152,6020451
1300152,6022458
1300152,6154396
1300152,6047674
1300152,6152544
1300152,6196420
1300152,6041634
1300152,6054579
1300152,6003688
1300152,6041604
1300152,6152454
1300152,6033130
1300152,6164679
1300152,6164681
1300152,6154032
1300152,6016627
1300152,6049515
1300152,6152400
1300152,6152506
1300152,6047668
1300152,6152534
1300152,6017654
1300152,6152622
1300152,6049517
1300152,6000999
1300152,6154023
1300152,6152635
1300152,6152551
1300152,6018488
1300152,6152422
1300152,6163096
1300152,6152655
1300152,6003758
1300152,6047665
1300153,6152652
1300153,6152651
1300153,6154005
1300153,6152426
1300153,6019114
1300153,6152658
1300154,6022413
1300154,6055950
1300154,6143171
1300154,6047987
1300154,6014150
1300154,6049544
1300154,6014594
1300154,6055949
1300157,6066922
1300157,6049542
1300157,6047972
1300157,6069183
1300160,6152657
1300161,6152560
1300161,6201230
1300161,6154424
1300161,6003671
1300163,6164930
1300163,6156156
1300163,6197378
1300163,6051316
1300163,6197376
1300163,6050858
1300163,6144988
1300164,6164638
1300167,6154822
1300167,6003759
1300167,6003760
1300167,6022730
1300167,6152511
1300167,6152462
1300167,6152575
1300167,6038799
1300167,6035512
1300168,6152588
1300168,6000495
1300168,6000827
1300168,6035501
1300170,6013527
1300170,6000878
1300170,6145384
1300171,6152657
1300172,6152606
1300172,6034160
1300174,6000892
1300174,6056005
1300175,6017834
1300175,6152469
1300175,6152626
1300175,6033129
1300175,6000608
1300175,6000892
1300175,6152487
1300176,6000892
1300176,6152650
1300176,6154366
1300176,6017834
1300176,6033130
1300177,6152615
1300177,6035511
1300177,6000608
1300177,6003889
1300178,6000608
1300178,6152488
1300179,6162161
1300179,6003924
1300182,6154077
1300182,6154045
1300182,6003826
1300182,6154384
1300182,6154027
1300182,6152613
1300182,6154398
1300182,6025936
1300182,6152229
1300182,6154056
1300182,6154050
1300182,6003731
1300182,6003697
1300182,6152463
1300182,6152460
1300182,6152482
1300183,6154075
1300183,6062768
1300183,6065007
1300183,6164670
1300183,6154823
1300183,6014802
1300184,6154827
1300184,6025944
1300184,6153992
1300184,6052600
1300184,6154031
1300184,6154371
1300184,6152498
1300184,6154418
1300184,6152476
1300184,6154407
1300184,6070899
